binomial,latitude,area,order,family,ebird_name,treelabels,clumin,clumax,bodmin,bodmax,is,migratory,mode,land,clu_geom,mass_geom
Myrmothera simplex,5.134632821316631,113218798142.264,Passeriformes,Grallariidae,Myrmothera_simplex,Myrmothera_simplex,2,2,40.5,53,N,NA,altricial,land,2,46.330335634441504
Myrmotherula axillaris,-3.490462741512597,7721481966757.72,Passeriformes,Thamnophilidae,Myrmotherula_axillaris,Myrmotherula_axillaris,2,2,5,10.6,N,NA,altricial,land,2,7.280109889280517
Myrmotherula cherriei,2.6075511883096567,676511226395.946,Passeriformes,Thamnophilidae,Myrmotherula_cherriei,Myrmotherula_cherriei,2,2,7.5,9,N,NA,altricial,land,2,8.215838362577491
Myrmotherula iheringi,-7.600451749688664,1149280578680.88,Passeriformes,Thamnophilidae,Myrmotherula_iheringi,Myrmotherula_iheringi,2,2,7.5,9,N,NA,altricial,land,2,8.215838362577491
Myrmotherula multostriata,-6.125189436558007,4641836795979.78,Passeriformes,Thamnophilidae,Myrmotherula_multostriata,Myrmotherula_multostriata,2,2,7.5,9,N,NA,altricial,land,2,8.215838362577491
Myrmotherula pacifica,5.6577927281114935,233935539004.914,Passeriformes,Thamnophilidae,Myrmotherula_pacifica,Myrmotherula_pacifica,2,2,8.5,10,N,NA,altricial,land,2,9.219544457292889
Myrmotherula schisticolor,4.738820039649536,533057480939.966,Passeriformes,Thamnophilidae,Myrmotherula_schisticolor,Myrmotherula_schisticolor,2,2,8.5,10,N,NA,altricial,land,2,9.219544457292889
Myrmotherula surinamensis,3.735500660122084,1273094396860.62,Passeriformes,Thamnophilidae,Myrmotherula_surinamensis,Myrmotherula_surinamensis,2,2,7.5,9,N,NA,altricial,land,2,8.215838362577491
Myrtis fanny,-10.139928917197643,255885639983.038,Caprimulgiformes,Trochilidae,Myrtis_fanny,Myrtis_fanny,2,2,2.3,2.5,N,NA,altricial,land,2,2.3979157616563596
Mystacornis crossleyi,-18.751011803134055,159060112500.052,Passeriformes,Vangidae,Mystacornis_crossleyi,Mystacornis_crossleyi,2,3,22.7,28.5,Y,NA,altricial,land,2.449489742783178,25.435211813546985
Myzomela cardinalis,-15.24904237865489,18851906292.2371,Passeriformes,Meliphagidae,Myzomela_cardinalis,Myzomela_cardinalis,2,3,11.5,23,Y,NA,altricial,land,2.449489742783178,16.263455967290593
Myzomela cineracea,-5.501165688282507,31282932250.018,Passeriformes,Meliphagidae,Myzomela_cineracea,Myzomela_cineracea,2,2,12.2,15.6,Y,NA,altricial,land,2,13.795651488784426
Myzomela erythrocephala,-12.125672550248218,425552068942.525,Passeriformes,Meliphagidae,Myzomela_erythrocephala,Myzomela_erythrocephala,2,3,6,11,N,NA,altricial,land,2.449489742783178,8.124038404635959
Myzomela obscura,-13.74065937868511,744106264659.547,Passeriformes,Meliphagidae,Myzomela_obscura,Myzomela_obscura,2,2,9,17.5,N,NA,altricial,land,2,12.549900398011133
Myzomela sanguinolenta,-27.423118329857328,909123960407.232,Passeriformes,Meliphagidae,Myzomela_sanguinolenta,Myzomela_sanguinolenta,2,3,5.5,13,N,NA,altricial,land,2.449489742783178,8.45576726264388
Nannopterum auritus,46.20206552207307,4265599745566.55,Suliformes,Phalacrocoracidae,Phalacrocorax_auritus,Phalacrocorax_auritus,1,7,1036,3000,N,migratory,altricial,land,2.6457513110645903,1762.95206968312
Nannopterum brasilianus,-10.998869047386442,18199927012334,Suliformes,Phalacrocoracidae,Phalacrocorax_brasilianus,Phalacrocorax_brasilianus,1,7,1000,2150,N,migratory,altricial,land,2.6457513110645903,1466.2878298615178
Necrosyrtes monachus,4.8422479215799505,10757601846204.6,Accipitriformes,Accipitridae,Necrosyrtes_monachus,Necrosyrtes_monachus,1,1,1500,2600,N,NA,altricial,land,1,1974.841765813149
Nectarinia kilimensis,-4.906239187515468,511131658016.149,Passeriformes,Nectariniidae,Nectarinia_kilimensis,Nectarinia_kilimensis,1,2,11.7,19.9,N,NA,altricial,land,1.414213562373095,15.25876797123542
Nemosia pileata,-9.7077524689543,8976876361439.61,Passeriformes,Thraupidae,Nemosia_pileata,Nemosia_pileata,2,2,12,20.7,N,NA,altricial,land,2,15.760710643876436
Neochmia modesta,-25.3349786878368,1592868490680.36,Passeriformes,Estrildidae,Neochmia_modesta,Neochmia_modesta,3,5,11.5,13.8,N,NA,altricial,land,3.872983346207417,12.597618822618822
Neochmia phaeton,-16.754616108504845,1051217230992.17,Passeriformes,Estrildidae,Neochmia_phaeton,Neochmia_phaeton,4,6,10,10,N,NA,altricial,land,4.898979485566356,10.000000000000002
Neochmia ruficauda,-17.710994702121152,1100164199925.34,Passeriformes,Estrildidae,Neochmia_ruficauda,Neochmia_ruficauda,3,6,8.5,13.8,N,NA,altricial,land,4.242640687119285,10.830512453249847
Neochmia temporalis,-29.53246319375077,1068100208518.48,Passeriformes,Estrildidae,Neochmia_temporalis,Neochmia_temporalis,4,6,8.4,14.6,N,NA,altricial,land,4.898979485566356,11.074294559925702
Neocichla gutturalis,-9.516202196511502,292415081056.665,Passeriformes,Sturnidae,Neocichla_gutturalis,Neocichla_gutturalis,2,3,64,72,N,NA,altricial,land,2.449489742783178,67.88225099390856
Neocossyphus rufus,-0.02305734491930047,1119008365925.34,Passeriformes,Turdidae,Neocossyphus_rufus,Neocossyphus_rufus,2,2,53,80,N,NA,altricial,land,2,65.11528238439882
Neolestes torquatus,-7.62442616204011,813544318145.306,Passeriformes,Pycnonotidae,Neolestes_torquatus,Neolestes_torquatus,2,2,20,27,N,NA,altricial,land,2,23.237900077244497
Neomixis striatigula,-18.67475291031325,162068865630.75,Passeriformes,Cisticolidae,Neomixis_striatigula,Neomixis_striatigula,3,5,6.2,9.5,Y,NA,altricial,land,3.872983346207417,7.67463354173996
Neomixis tenella,-19.39743557519101,582880367188.324,Passeriformes,Cisticolidae,Neomixis_tenella,Neomixis_tenella,2,4,6,8,Y,NA,altricial,land,2.82842712474619,6.928203230275509
Neomorphus geoffroyi,-7.18412508094052,2912449622274.87,Cuculiformes,Cuculidae,Neomorphus_geoffroyi,Neomorphus_geoffroyi,1,1,302,400,N,NA,altricial,land,1,347.5629439396553
Neomorphus pucheranii,-4.065406344081171,1098665739865.66,Cuculiformes,Cuculidae,Neomorphus_pucheranii,Neomorphus_pucheranii,2,2,330,330,N,NA,altricial,land,2,329.99999999999994
Neomorphus radiolosus,1.4667525230775584,18046744629.0038,Cuculiformes,Cuculidae,Neomorphus_radiolosus,Neomorphus_radiolosus,1,1,365,433,N,NA,altricial,land,1,397.5487391503082
Neophedina cincta,-13.48149386008858,5522167213655.27,Passeriformes,Hirundinidae,Riparia_cincta,Riparia_cincta,2,5,19,30,N,migratory,altricial,land,3.162277660168379,23.87467277262665
Neophema chrysogaster,-42.77962930474415,2501472536.20357,Psittaciformes,Psittaculidae,Neophema_chrysogaster,Neophema_chrysogaster,3,6,42,42,Y,migratory,altricial,land,4.242640687119285,42.00000000000001
Neophema chrysostoma,-39.404909184815274,168697324226.722,Psittaciformes,Psittaculidae,Neophema_chrysostoma,Neophema_chrysostoma,4,6,44,61,N,NA,altricial,land,4.898979485566356,51.80733538795446
Neophema elegans,-31.98789387481037,861010235165.338,Psittaciformes,Psittaculidae,Neophema_elegans,Neophema_elegans,4,5,42,51,N,NA,altricial,land,4.472135954999579,46.281745861624536
Neophema petrophila,-33.42980352304284,138186996853.942,Psittaciformes,Psittaculidae,Neophema_petrophila,Neophema_petrophila,4,5,47,54,N,NA,altricial,land,4.472135954999579,50.37856687124
Neophema pulchella,-32.37639998100868,491818948657.202,Psittaciformes,Psittaculidae,Neophema_pulchella,Neophema_pulchella,2,6,37,44,N,NA,altricial,land,3.464101615137755,40.348482003664024
Neophema splendida,-30.19349835379851,261916403074.337,Psittaciformes,Psittaculidae,Neophema_splendida,Neophema_splendida,3,6,36,44,N,NA,altricial,land,4.242640687119285,39.79949748426478
Neophron percnopterus,26.489739848002817,14077620877919.6,Accipitriformes,Accipitridae,Neophron_percnopterus,Neophron_percnopterus,1,3,1600,2400,N,migratory,altricial,land,1.7320508075688774,1959.5917942265435
Neopsephotus bourkii,-26.90583492266776,1717843202964.8,Psittaciformes,Psittaculidae,Neophema_bourkii,Neopsephotus_bourkii,3,6,39,39,N,NA,altricial,land,4.242640687119285,38.99999999999999
Neopsittacus pullicauda,-5.0235824744917466,114873515385.4,Psittaciformes,Psittaculidae,Neopsittacus_pullicauda,Neopsittacus_pullicauda,2,2,25,40,Y,NA,altricial,land,2,31.62277660168379
Neothraupis fasciata,-16.024146228830006,2242381926304.64,Passeriformes,Thraupidae,Neothraupis_fasciata,Neothraupis_fasciata,2,3,32,34,N,NA,altricial,land,2.449489742783178,32.98484500494128
Neotis denhami,1.8927190435567285,7657747604178.26,Otidiformes,Otididae,Neotis_denhami,Neotis_denhami,1,2,3000,10000,N,NA,precocial,land,1.414213562373095,5477.225575051666
Neotis heuglinii,6.209213317372503,987881809286.16,Otidiformes,Otididae,Neotis_heuglinii,Neotis_heuglinii,2,2,2600,8000,N,NA,precocial,land,2,4560.701700396557
Neotis ludwigii,-27.033560118803905,1005236723333.1,Otidiformes,Otididae,Neotis_ludwigii,Neotis_ludwigii,2,2,2200,6000,N,NA,precocial,land,2,3633.180424916987
Neotis nuba,17.405223237687558,2385743013295.7,Otidiformes,Otididae,Neotis_nuba,Neotis_nuba,2,2,5400,5400,N,NA,precocial,land,2,5400.000000000003
Neoxolmis rufiventris,-48.40993003221586,317579352345.846,Passeriformes,Tyrannidae,Neoxolmis_rufiventris,Neoxolmis_rufiventris,2,3,77,77,N,migratory,altricial,land,2.449489742783178,77.00000000000001
Nephelomyias ochraceiventris,-11.74665148352782,92901366651.2957,Passeriformes,Tyrannidae,Nephelomyias_ochraceiventris,Myiophobus_ochraceiventris,2,2,8.2,13,N,NA,altricial,land,2,10.324727599312244
Nesillas typica,-18.778776456986957,517753875206.73,Passeriformes,Acrocephalidae,Nesillas_typica,Nesillas_typica,2,3,14.5,22,Y,NA,altricial,land,2.449489742783178,17.860571099491757
Nesocharis capistrata,6.798596271351962,975191865437.678,Passeriformes,Estrildidae,Nesocharis_capistrata,Nesocharis_capistrata,3,5,10.8,13.2,N,NA,altricial,land,3.872983346207417,11.939849245279436
Nesocharis shelleyi,6.000150100703142,31132964661.0012,Passeriformes,Estrildidae,Nesocharis_shelleyi,Nesocharis_shelleyi,3,3,7,9,N,NA,altricial,land,3.0000000000000004,7.937253933193771
Nesoctites micromegas,18.909168825037884,73223642840.444,Piciformes,Picidae,Nesoctites_micromegas,Nesoctites_micromegas,2,4,26,33,Y,NA,altricial,land,2.82842712474619,29.29163703175362
Nesoenas mayeri,-20.431669657622656,74389078.1232433,Columbiformes,Columbidae,Nesoenas_mayeri,Nesoenas_mayeri,1,2,291,315,Y,NA,altricial,land,1.414213562373095,302.7622829878255
Nesoenas picturatus,-19.37162739284536,589627590877.922,Columbiformes,Columbidae,Streptopelia_picturata,Nesoenas_picturata,2,2,146,188,Y,NA,altricial,land,2,165.67437943146194
Nesopsar nigerrimus,18.161900875901857,1727910837.16275,Passeriformes,Icteridae,Nesopsar_nigerrimus,Nesopsar_nigerrimus,2,2,39,39,Y,NA,altricial,land,2,38.99999999999999
Nesoptilotis leucotis,-31.2863646460618,1967888227559.69,Passeriformes,Meliphagidae,Nesoptilotis_leucotis,Lichenostomus_leucotis,1,3,15,35,N,NA,altricial,land,1.7320508075688774,22.9128784747792
